indice_waypoint,x,y,esito,tempo_navigazione_s,numero_recoveries,foto_scattate,nuvola_salvata,numero_punti_nuvola,errori
1,-3.0,1.0,successo,15.1,0,4,True,13130,
2,1.0,-2.8,successo,18.4,0,4,True,15000,
3,3.7,-1.8,successo,13.0,1,4,True,17539,
4,3.5,1.4,successo,13.1,0,4,True,15018,
